CONCESIONARIO|CODINTERNO|IDLOCALID|DIRECCION|CAPACIDAD|APROVECHAB|SERIAL|FECVIGDES|FECHAINSTA|LONGITUD|LATITUD|NOVUBICACI|FECHANOVED
Ciudad LÌmpia (ASE03)|24-0003|9|KR 96G No 22K 00|2400|N||2025-11-01 00:00:00||-74.13563999999997|4.674950000000024|UC|2020-09-09
Ciudad LÌmpia (ASE03)|24-0126|9|KR 96G No 22K 00|2400|N||2025-11-01 00:00:00||-74.13566969299995|4.674938472000065|UC|2020-09-09
Ciudad LÌmpia (ASE03)|24-0262|9|KR 96F CON CL 23G BIS ESQUINA|2400|N||2025-11-01 00:00:00||-74.13309818799996|4.675974899000039|UC|2020-09-09
Ciudad LÌmpia (ASE03)|24-0420|9|CL 23H CON KR 96GBIS ESQUINA|2400|N||2025-11-01 00:00:00||-74.13309752299995|4.677688081000042|UC|2020-09-09
Ciudad LÌmpia (ASE03)|24-0098|9|KR 96I No 22G 15|2400|N||2025-11-01 00:00:00||-74.13772017999997|4.67497032600005|UC|2024-07-16
Ciudad LÌmpia (ASE03)|24-0964|9|DG 23K No 96H 27|2400|N||2025-11-01 00:00:00||-74.13233193799994|4.678938965000043|UC|2021-05-28
Ciudad LÌmpia (ASE03)|24-0161|9|KR 96DBIS No 22G 49|2400|N||2025-11-01 00:00:00||-74.13581591799993|4.673172441000077|UC|2020-09-09
Ciudad LÌmpia (ASE03)|24-0046|9|AC 22 No 96C 64|2400|N||2025-11-01 00:00:00||-74.13676519099994|4.672602349000044|UC|2023-12-19
Ciudad LÌmpia (ASE03)|24-0047|9|AC 22 No 96C 22|2400|N||2025-11-01 00:00:00||-74.13653999999997|4.6723400000000765|UC|2020-09-09
Ciudad LÌmpia (ASE03)|24-0093|9|AK 97 No 23B 66|2400|N||2025-11-01 00:00:00||-74.13553999999993|4.677960000000041|UC|2020-09-09
Ciudad LÌmpia (ASE03)|24-0113|9|AK 97 No 23B 04|2400|N||2025-11-01 00:00:00||-74.13605359399997|4.677609140000072|UC|2020-09-09
Ciudad LÌmpia (ASE03)|24-0297|9|KR 98 No 22H 62|2400|N||2025-11-01 00:00:00||-74.13821999999993|4.676680000000033|UC|2020-09-09
Ciudad LÌmpia (ASE03)|24-0299|9|CL 23F No 96G 82|2400|N||2025-11-01 00:00:00||-74.13438731199994|4.676649932000032|UC|2020-09-09
Ciudad LÌmpia (ASE03)|24-0162|9|CL 23GBISB No 96F 07|2400|N||2025-11-01 00:00:00||-74.13258867899998|4.676321378000068|UC|2020-09-09
Ciudad LÌmpia (ASE03)|24-0478|9|CL 22K CON KR 98A ESQUINA|2400|N||2025-11-01 00:00:00||-74.13813883199998|4.6777384480000705|UC|2020-09-09
Ciudad LÌmpia (ASE03)|24-0260|9|KR 98A CON CL 22G ESQUINA|2400|N||2025-11-01 00:00:00||-74.13958627399995|4.676749637000057|UC|2020-09-09
Ciudad LÌmpia (ASE03)|24-0712|8|TV 71B No 8 04|2400|N||2025-11-01 00:00:00||-74.13164588799998|4.634711364000054|UC|2019-02-19
Ciudad LÌmpia (ASE03)|24-0680|8|KR 70 No 8 19|2400|N||2025-11-01 00:00:00||-74.13039853999999|4.6334519410000325|UC|2019-02-19
Ciudad LÌmpia (ASE03)|24-0887|8|CL 9B CON KR 69DBIS|2400|N||2025-11-01 00:00:00||-74.12878906899994|4.635316339000042|UC|2019-02-19
Ciudad LÌmpia (ASE03)|24-1005|8|KR 69 No 8 05|2400|N||2025-11-01 00:00:00||-74.12716350399995|4.632459401000062|UC|2019-02-19
Ciudad LÌmpia (ASE03)|24-0829|8|CL 8 No 69A 49|2400|N||2025-11-01 00:00:00||-74.12834789499993|4.6326371880000465|UC|2019-02-19
Ciudad LÌmpia (ASE03)|24-0685|8|CL 9D No 69B 80|2400|N||2025-11-01 00:00:00||-74.12798665599996|4.6360736230000725|UC|2019-02-19
Ciudad LÌmpia (ASE03)|24-0143|8|KR 70B No 7 36|2400|N||2025-11-01 00:00:00||-74.13151026699995|4.632311414000071|UC|2019-02-19
Ciudad LÌmpia (ASE03)|24-0818|8|CL 6B No 71C 17|2400|N||2025-11-01 00:00:00||-74.13542461099996|4.631256664000034|UC|2019-02-19
